ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.0738219e+3, 1.0738219e+3, 1.0738219e+3, 6.9999999e-1, 1.0738219e+3, 3.3201503e+5, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.0738219e+3, 1.0738219e+3, 1.0738219e+3, 7.0000172e-1, 1.0738219e+3, 2.3241109e+5, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.0182100e+3, 1.0182100e+3, 1.0182100e+3, 6.9436356e-1, 1.0182100e+3, 2.3053914e+5, 0.0000000, 5.4617297e-2, 2.9901922e-2, 9.9000001e-1
2, 9.6231030e+2, 9.6231030e+2, 9.6231030e+2, 6.9650588e-1, 9.6231030e+2, 2.3125042e+5, 0.0000000, 5.8089077e-2, 2.2991529e-2, 9.9000001e-1
3, 9.2506256e+2, 9.2506256e+2, 9.2506256e+2, 6.9745299e-1, 9.2506256e+2, 2.3156488e+5, 0.0000000, 4.0265106e-2, 1.9358361e-2, 9.9000001e-1
4, 8.9716760e+2, 8.9716760e+2, 8.9716760e+2, 6.9810789e-1, 8.9716760e+2, 2.3178231e+5, 0.0000000, 3.1092249e-2, 1.7044762e-2, 9.9000001e-1
5, 8.7327856e+2, 8.7327856e+2, 8.7327856e+2, 6.9836014e-1, 8.7327856e+2, 2.3186606e+5, 0.0000000, 2.7355576e-2, 1.6674748e-2, 9.9000001e-1
6, 8.5150824e+2, 8.5150824e+2, 8.5150824e+2, 6.9841496e-1, 8.5150824e+2, 2.3188427e+5, 0.0000000, 2.5566781e-2, 1.7383162e-2, 9.9000001e-1
7, 8.3227740e+2, 8.3227740e+2, 8.3227740e+2, 6.9817001e-1, 8.3227740e+2, 2.3180294e+5, 0.0000000, 2.3106281e-2, 1.8708948e-2, 9.9000001e-1
8, 8.1465497e+2, 8.1465497e+2, 8.1465497e+2, 6.9776717e-1, 8.1465497e+2, 2.3166919e+5, 0.0000000, 2.1631779e-2, 2.0815717e-2, 9.9000001e-1
9, 7.9966980e+2, 7.9966980e+2, 7.9966980e+2, 6.9714530e-1, 7.9966980e+2, 2.3146272e+5, 0.0000000, 1.8739196e-2, 2.3925608e-2, 9.9000001e-1
10, 7.8444165e+2, 7.8444165e+2, 7.8444165e+2, 6.9635660e-1, 7.8444165e+2, 2.3120086e+5, 0.0000000, 1.9412724e-2, 2.7155425e-2, 9.9000001e-1
11, 7.7080463e+2, 7.7080463e+2, 7.7080463e+2, 6.9525363e-1, 7.7080463e+2, 2.3083466e+5, 0.0000000, 1.7691933e-2, 2.9561847e-2, 9.9000001e-1
12, 7.5463934e+2, 7.5463934e+2, 7.5463934e+2, 6.9456932e-1, 7.5463934e+2, 2.3060745e+5, 0.0000000, 2.1421203e-2, 3.1966124e-2, 9.9000001e-1
13, 7.2776782e+2, 7.2776782e+2, 7.2776782e+2, 6.9537764e-1, 7.2776782e+2, 2.3087583e+5, 0.0000000, 3.6923207e-2, 3.5693746e-2, 9.9000001e-1
14, 6.9468524e+2, 6.9468524e+2, 6.9468524e+2, 6.9520554e-1, 6.9468524e+2, 2.3081869e+5, 0.0000000, 4.7622401e-2, 4.2483147e-2, 9.9000001e-1
15, 6.5912537e+2, 6.5912537e+2, 6.5912537e+2, 6.9514233e-1, 6.5912537e+2, 2.3079770e+5, 0.0000000, 5.3950094e-2, 4.5558702e-2, 9.9000001e-1
16, 6.3779022e+2, 6.3779022e+2, 6.3779022e+2, 6.9514026e-1, 6.3779022e+2, 2.3079702e+5, 0.0000000, 3.3451665e-2, 4.3708943e-2, 9.9000001e-1
17, 6.3053558e+2, 6.3053558e+2, 6.3053558e+2, 6.9318417e-1, 6.3053558e+2, 2.3014756e+5, 0.0000000, 1.1505518e-2, 4.9843043e-2, 9.9000001e-1
