ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
18, 6.1596490e+2, 6.1596490e+2, 6.1596490e+2, 6.9109649e-1, 6.1596490e+2, 2.2945442e+5, 0.0000000, 2.3655048e-2, 5.4425009e-2, 9.9000001e-1
19, 6.0831091e+2, 6.0831091e+2, 6.0831091e+2, 6.8988419e-1, 6.0831091e+2, 2.2905192e+5, 0.0000000, 1.2582368e-2, 5.2007589e-2, 9.9000001e-1
20, 5.9549908e+2, 5.9549908e+2, 5.9549908e+2, 6.9022553e-1, 5.9549908e+2, 2.2916525e+5, 0.0000000, 2.1514438e-2, 4.7827009e-2, 9.9000001e-1
21, 5.7944336e+2, 5.7944336e+2, 5.7944336e+2, 6.9192618e-1, 5.7944336e+2, 2.2972989e+5, 0.0000000, 2.7708877e-2, 3.9672378e-2, 9.9000001e-1
22, 5.7162061e+2, 5.7162061e+2, 5.7162061e+2, 6.9270814e-1, 5.7162061e+2, 2.2998952e+5, 0.0000000, 1.3685220e-2, 3.0276844e-2, 9.9000001e-1
23, 5.6676245e+2, 5.6676245e+2, 5.6676245e+2, 6.9399592e-1, 5.6676245e+2, 2.3041708e+5, 0.0000000, 8.5717645e-3, 2.3799319e-2, 9.9000001e-1
24, 5.6271368e+2, 5.6271368e+2, 5.6271368e+2, 6.9412929e-1, 5.6271368e+2, 2.3046136e+5, 0.0000000, 7.1950750e-3, 1.9778570e-2, 9.9000001e-1
25, 5.5650305e+2, 5.5650305e+2, 5.5650305e+2, 6.9640221e-1, 5.5650305e+2, 2.3121600e+5, 0.0000000, 1.1160105e-2, 1.5688490e-2, 9.9000001e-1
26, 5.5286310e+2, 5.5286310e+2, 5.5286310e+2, 6.9728818e-1, 5.5286310e+2, 2.3151016e+5, 0.0000000, 6.5838243e-3, 1.2356081e-2, 9.9000001e-1
27, 5.5128345e+2, 5.5128345e+2, 5.5128345e+2, 6.9775027e-1, 5.5128345e+2, 2.3166358e+5, 0.0000000, 2.8654060e-3, 1.0275001e-2, 9.9000001e-1
28, 5.4979254e+2, 5.4979254e+2, 5.4979254e+2, 6.9801772e-1, 5.4979254e+2, 2.3175238e+5, 0.0000000, 2.7117606e-3, 9.3753953e-3, 9.9000001e-1
29, 5.4752686e+2, 5.4752686e+2, 5.4752686e+2, 6.9880336e-1, 5.4752686e+2, 2.3201322e+5, 0.0000000, 4.1380362e-3, 8.6305402e-3, 9.9000001e-1
30, 5.4665863e+2, 5.4665863e+2, 5.4665863e+2, 6.9907109e-1, 5.4665863e+2, 2.3210211e+5, 0.0000000, 1.5882400e-3, 8.2923900e-3, 9.9000001e-1
31, 5.4565656e+2, 5.4565656e+2, 5.4565656e+2, 6.9915683e-1, 5.4565656e+2, 2.3213058e+5, 0.0000000, 1.8364578e-3, 8.1726136e-3, 9.9000001e-1
32, 5.4526141e+2, 5.4526141e+2, 5.4526141e+2, 6.9921044e-1, 5.4526141e+2, 2.3214838e+5, 0.0000000, 7.2468288e-4, 8.5098259e-3, 9.9000001e-1
33, 5.4444489e+2, 5.4444489e+2, 5.4444489e+2, 6.9939718e-1, 5.4444489e+2, 2.3221038e+5, 0.0000000, 1.4997447e-3, 8.7663876e-3, 9.9000001e-1
34, 5.4385358e+2, 5.4385358e+2, 5.4385358e+2, 6.9942969e-1, 5.4385358e+2, 2.3222117e+5, 0.0000000, 1.0872569e-3, 9.0158815e-3, 9.9000001e-1
35, 5.4371783e+2, 5.4371783e+2, 5.4371783e+2, 6.9934842e-1, 5.4371783e+2, 2.3219419e+5, 0.0000000, 2.4965557e-4, 9.7998930e-3, 9.9000001e-1
36, 5.4332074e+2, 5.4332074e+2, 5.4332074e+2, 6.9928879e-1, 5.4332074e+2, 2.3217439e+5, 0.0000000, 7.3086616e-4, 1.0578788e-2, 9.9000001e-1
37, 5.4352496e+2, 5.4352496e+2, 5.4352496e+2, 6.9912657e-1, 5.4352496e+2, 2.3212053e+5, 0.0000000, 3.7573918e-4, 1.1517062e-2, 9.9000001e-1
38, 5.4310272e+2, 5.4310272e+2, 5.4310272e+2, 6.9914375e-1, 5.4310272e+2, 2.3212623e+5, 0.0000000, 7.7746104e-4, 1.1888994e-2, 9.9000001e-1
39, 5.4304291e+2, 5.4304291e+2, 5.4304291e+2, 6.9917665e-1, 5.4304291e+2, 2.3213716e+5, 0.0000000, 1.1014683e-4, 1.2141044e-2, 9.9000001e-1
40, 5.4253497e+2, 5.4253497e+2, 5.4253497e+2, 6.9915660e-1, 5.4253497e+2, 2.3213050e+5, 0.0000000, 9.3622459e-4, 1.2185204e-2, 9.9000001e-1
41, 5.4267096e+2, 5.4267096e+2, 5.4267096e+2, 6.9917467e-1, 5.4267096e+2, 2.3213650e+5, 0.0000000, 2.5058707e-4, 1.1803047e-2, 9.9000001e-1
42, 5.4222827e+2, 5.4222827e+2, 5.4222827e+2, 6.9915519e-1, 5.4222827e+2, 2.3213003e+5, 0.0000000, 8.1642368e-4, 1.0840619e-2, 9.9000001e-1
43, 5.4208655e+2, 5.4208655e+2, 5.4208655e+2, 6.9920705e-1, 5.4208655e+2, 2.3214725e+5, 0.0000000, 2.6144096e-4, 9.6022151e-3, 9.9000001e-1
44, 5.4141266e+2, 5.4141266e+2, 5.4141266e+2, 6.9940823e-1, 5.4141266e+2, 2.3221405e+5, 0.0000000, 1.2446868e-3, 8.1041558e-3, 9.9000001e-1
45, 5.4098761e+2, 5.4098761e+2, 5.4098761e+2, 6.9954043e-1, 5.4098761e+2, 2.3225794e+5, 0.0000000, 7.8569050e-4, 6.9390656e-3, 9.9000001e-1
46, 5.4063348e+2, 5.4063348e+2, 5.4063348e+2, 6.9960707e-1, 5.4063348e+2, 2.3228006e+5, 0.0000000, 6.5502041e-4, 6.0778614e-3, 9.9000001e-1
47, 5.4033417e+2, 5.4033417e+2, 5.4033417e+2, 6.9968891e-1, 5.4033417e+2, 2.3230723e+5, 0.0000000, 5.5394683e-4, 5.5518113e-3, 9.9000001e-1
48, 5.3996051e+2, 5.3996051e+2, 5.3996051e+2, 6.9968058e-1, 5.3996051e+2, 2.3230447e+5, 0.0000000, 6.9200841e-4, 5.4162825e-3, 9.9000001e-1
49, 5.3990613e+2, 5.3990613e+2, 5.3990613e+2, 6.9966759e-1, 5.3990613e+2, 2.3230016e+5, 0.0000000, 1.0072552e-4, 5.5355583e-3, 9.9000001e-1
50, 5.3935321e+2, 5.3935321e+2, 5.3935321e+2, 6.9972674e-1, 5.3935321e+2, 2.3231980e+5, 0.0000000, 1.0251491e-3, 5.7999557e-3, 9.9000001e-1
51, 5.3926959e+2, 5.3926959e+2, 5.3926959e+2, 6.9968086e-1, 5.3926959e+2, 2.3230456e+5, 0.0000000, 1.5505818e-4, 6.2658400e-3, 9.9000001e-1
52, 5.3904218e+2, 5.3904218e+2, 5.3904218e+2, 6.9962486e-1, 5.3904218e+2, 2.3228597e+5, 0.0000000, 4.2189090e-4, 6.8162861e-3, 9.9000001e-1
53, 5.3879572e+2, 5.3879572e+2, 5.3879572e+2, 6.9957827e-1, 5.3879572e+2, 2.3227050e+5, 0.0000000, 4.5742746e-4, 7.3931254e-3, 9.9000001e-1
54, 5.3851270e+2, 5.3851270e+2, 5.3851270e+2, 6.9958758e-1, 5.3851270e+2, 2.3227359e+5, 0.0000000, 5.2555866e-4, 7.7461186e-3, 9.9000001e-1
55, 5.3816577e+2, 5.3816577e+2, 5.3816577e+2, 6.9952118e-1, 5.3816577e+2, 2.3225155e+5, 0.0000000, 6.4464117e-4, 8.1803063e-3, 9.9000001e-1
56, 5.3726343e+2, 5.3726343e+2, 5.3726343e+2, 6.9955954e-1, 5.3726343e+2, 2.3226428e+5, 0.0000000, 1.6795183e-3, 8.3067920e-3, 9.9000001e-1
57, 5.3665820e+2, 5.3665820e+2, 5.3665820e+2, 6.9953756e-1, 5.3665820e+2, 2.3225698e+5, 0.0000000, 1.1277655e-3, 8.3755273e-3, 9.9000001e-1
58, 5.3580341e+2, 5.3580341e+2, 5.3580341e+2, 6.9949487e-1, 5.3580341e+2, 2.3224281e+5, 0.0000000, 1.5953564e-3, 8.1658820e-3, 9.9000001e-1
59, 5.3587848e+2, 5.3587848e+2, 5.3587848e+2, 6.9947116e-1, 5.3587848e+2, 2.3223494e+5, 0.0000000, 1.4009378e-4, 7.8246277e-3, 9.9000001e-1
60, 5.3497791e+2, 5.3497791e+2, 5.3497791e+2, 6.9955059e-1, 5.3497791e+2, 2.3226131e+5, 0.0000000, 1.6833849e-3, 7.5421152e-3, 9.9000001e-1
61, 5.3500354e+2, 5.3500354e+2, 5.3500354e+2, 6.9954725e-1, 5.3500354e+2, 2.3226020e+5, 0.0000000, 4.7915131e-5, 6.9281724e-3, 9.9000001e-1
62, 5.3455396e+2, 5.3455396e+2, 5.3455396e+2, 6.9958038e-1, 5.3455396e+2, 2.3227120e+5, 0.0000000, 8.4104692e-4, 6.4147781e-3, 9.9000001e-1
63, 5.3427618e+2, 5.3427618e+2, 5.3427618e+2, 6.9957064e-1, 5.3427618e+2, 2.3226797e+5, 0.0000000, 5.1990151e-4, 6.0502985e-3, 9.9000001e-1
64, 5.3436188e+2, 5.3436188e+2, 5.3436188e+2, 6.9954716e-1, 5.3436188e+2, 2.3226017e+5, 0.0000000, 1.6036579e-4, 5.6959088e-3, 9.9000001e-1
65, 5.3430035e+2, 5.3430035e+2, 5.3430035e+2, 6.9946504e-1, 5.3430035e+2, 2.3223291e+5, 0.0000000, 1.1514766e-4, 5.3144251e-3, 9.9000001e-1
66, 5.3424316e+2, 5.3424316e+2, 5.3424316e+2, 6.9950989e-1, 5.3424316e+2, 2.3224780e+5, 1.0000000, 1.0704852e-4, 4.9970518e-3, 9.9000001e-1
